AIMed.d0.s5.p0	N	Cytokines measurements during PROTEIN1 treatment showed a trend to decreasing levels of PROTEIN2 at 4, 12, and 24 weeks.
AIMed.d0.s6.p0	N	Levels of PROTEIN1 were slightly increased following PROTEIN2 treatment (P = 0.09).
AIMed.d0.s7.p0	N	In patients with a complete response to PROTEIN1 , the levels of PROTEIN2 were higher at 24 weeks following PROTEIN treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.
AIMed.d0.s7.p1	N	In patients with a complete response to PROTEIN1 , the levels of PROTEIN were higher at 24 weeks following PROTEIN2 treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.
AIMed.d0.s7.p2	N	In patients with a complete response to PROTEIN1 , the levels of PROTEIN were higher at 24 weeks following PROTEIN treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN2 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.
AIMed.d0.s7.p3	N	In patients with a complete response to PROTEIN , the levels of PROTEIN1 were higher at 24 weeks following PROTEIN2 treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.
AIMed.d0.s7.p4	N	In patients with a complete response to PROTEIN , the levels of PROTEIN1 were higher at 24 weeks following PROTEIN treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN2 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.
AIMed.d0.s7.p5	N	In patients with a complete response to PROTEIN , the levels of PROTEIN were higher at 24 weeks following PROTEIN1 treatment than that of pre-treatment (P = 0.04), and the levels of PROTEIN2 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.
AIMed.d1.s12.p0	N	This study describes the distributions of PROTEIN1 as well as mRNAs for PROTEIN2 ( PROTEIN ). collagen types II ( PROTEIN ) and III ( PROTEIN ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s12.p1	N	This study describes the distributions of PROTEIN1 as well as mRNAs for PROTEIN ( PROTEIN2 ). collagen types II ( PROTEIN ) and III ( PROTEIN ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s12.p2	N	This study describes the distributions of PROTEIN1 as well as mRNAs for PROTEIN ( PROTEIN ). collagen types II ( PROTEIN2 ) and III ( PROTEIN ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s12.p3	N	This study describes the distributions of PROTEIN1 as well as mRNAs for PROTEIN ( PROTEIN ). collagen types II ( PROTEIN ) and III ( PROTEIN2 ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s12.p4	N	This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN1 ( PROTEIN2 ). collagen types II ( PROTEIN ) and III ( PROTEIN ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s12.p5	N	This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN1 ( PROTEIN ). collagen types II ( PROTEIN2 ) and III ( PROTEIN ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s12.p7	N	This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN ( PROTEIN1 ). collagen types II ( PROTEIN2 ) and III ( PROTEIN ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s12.p8	N	This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN ( PROTEIN1 ). collagen types II ( PROTEIN ) and III ( PROTEIN2 ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s12.p9	N	This study describes the distributions of PROTEIN as well as mRNAs for PROTEIN ( PROTEIN ). collagen types II ( PROTEIN1 ) and III ( PROTEIN2 ) in a growing "cartilage cap" of osteochondroma.
AIMed.d1.s14.p0	N	PROTEIN1 was detected in mesenchymal cells in the outer fibrous layer and chondrocytes in the inner cartilaginous matrix, positive for PROTEIN2 and PROTEIN , respectively.
AIMed.d1.s14.p1	N	PROTEIN1 was detected in mesenchymal cells in the outer fibrous layer and chondrocytes in the inner cartilaginous matrix, positive for PROTEIN and PROTEIN2 , respectively.
AIMed.d1.s14.p2	N	PROTEIN was detected in mesenchymal cells in the outer fibrous layer and chondrocytes in the inner cartilaginous matrix, positive for PROTEIN1 and PROTEIN2 , respectively.
AIMed.d1.s16.p0	N	This is the first study to provide observational evidence of the involvement of PROTEIN1 signaling in the pathogenesis of cartilage cap of osteochondroma. and suggests the role of PROTEIN2 in the growth of cartilage cap in osteochondroma.
AIMed.d2.s17.p0	N	The molar ratio of serum PROTEIN1 ( PROTEIN2 ) to PROTEIN ( PROTEIN ) is not useful to assess vitamin A status during infection in hospitalised children.
AIMed.d2.s17.p1	N	The molar ratio of serum PROTEIN1 ( PROTEIN ) to PROTEIN2 ( PROTEIN ) is not useful to assess vitamin A status during infection in hospitalised children.
AIMed.d2.s17.p2	N	The molar ratio of serum PROTEIN1 ( PROTEIN ) to PROTEIN ( PROTEIN2 ) is not useful to assess vitamin A status during infection in hospitalised children.
AIMed.d2.s17.p3	N	The molar ratio of serum PROTEIN ( PROTEIN1 ) to PROTEIN2 ( PROTEIN ) is not useful to assess vitamin A status during infection in hospitalised children.
AIMed.d2.s17.p4	N	The molar ratio of serum PROTEIN ( PROTEIN1 ) to PROTEIN ( PROTEIN2 ) is not useful to assess vitamin A status during infection in hospitalised children.
AIMed.d2.s17.p5	N	The molar ratio of serum PROTEIN ( PROTEIN ) to PROTEIN1 ( PROTEIN2 ) is not useful to assess vitamin A status during infection in hospitalised children.
AIMed.d2.s18.p0	N	OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN1 ( PROTEIN2 ) to PROTEIN ( PROTEIN ) to determine vitamin A (VA) status during infection.
AIMed.d2.s18.p1	N	OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN1 ( PROTEIN ) to PROTEIN2 ( PROTEIN ) to determine vitamin A (VA) status during infection.
AIMed.d2.s18.p2	N	OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN1 ( PROTEIN ) to PROTEIN ( PROTEIN2 ) to determine vitamin A (VA) status during infection.
AIMed.d2.s18.p4	N	OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN ( PROTEIN1 ) to PROTEIN ( PROTEIN2 ) to determine vitamin A (VA) status during infection.
AIMed.d2.s18.p5	N	OBJECTIVE: To assess the usefulness of the molar ratio of serum PROTEIN ( PROTEIN ) to PROTEIN1 ( PROTEIN2 ) to determine vitamin A (VA) status during infection.
AIMed.d2.s19.p0	N	DESIGN: We took advantage of previously collected data during a randomised double-blind, placebo-controlled clinical trial to conduct a secondary analysis of the PROTEIN1 / PROTEIN2 ratio and its relationship to infection and VA status.
AIMed.d2.s23.p0	N	MAIN OUTCOME MEASURES: PROTEIN1 / PROTEIN2 molar ratio after 7 days hospitalisation.
AIMed.d2.s24.p0	N	RESULTS: After 7 days hospitalisation, molar PROTEIN1 : PROTEIN2 ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p1	N	RESULTS: After 7 days hospitalisation, molar PROTEIN1 : PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN2 : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p2	N	RESULTS: After 7 days hospitalisation, molar PROTEIN1 : PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN2 ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p4	N	RESULTS: After 7 days hospitalisation, molar PROTEIN1 : PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN2 ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p5	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN1 ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN2 : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p6	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN1 ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN2 ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p7	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN1 ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN2 : PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p8	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN1 ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN2 ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p10	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN1 : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN2 : PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p11	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN1 : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN2 ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p12	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN1 ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN2 : PROTEIN ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p13	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN1 ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN : PROTEIN2 ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d2.s24.p14	N	RESULTS: After 7 days hospitalisation, molar PROTEIN : PROTEIN ratio (mean+/-s.d.) of infected children (C-reactive proteins>10 mg/l) was 0.67+/-0.31 in the high-dose group (n=81), 0.74+/-0.44 in the low dose group (n=71) and 0.73+/-0.39 in the placebo group (n=81). These values did not differ significantly (one-way ANOVA P=0.472). In patients with baseline serum retinol concentrations<0.70 micromol/l, changes in PROTEIN : PROTEIN ratio between admission and day 7 were not statistically different in the three groups (one-way ANOVA P=0.548). CONCLUSIONS: In this population of malnourished hospitalised children, molar PROTEIN1 : PROTEIN2 ratio does not appear to be useful to assess VA status during infection. SPONSORSHIP: Our research was partially supported by a grant from the Fonds de la Recherche Scientifique et Medicale (contract 3.4505.94) and the David and Alice Van Buuren Foundation.
AIMed.d3.s30.p2	N	Temporally following this growth arrest, the cells develop a senescence morphology and express PROTEIN1 ( PROTEIN2 ).
AIMed.d3.s31.p0	N	Levels of PROTEIN1 ( PROTEIN2 ) and PROTEIN ( PROTEIN ) rise in HUCs during progressive passages, whereas only PROTEIN increases in HPEC cultures.
AIMed.d3.s31.p1	N	Levels of PROTEIN1 ( PROTEIN ) and PROTEIN2 ( PROTEIN ) rise in HUCs during progressive passages, whereas only PROTEIN increases in HPEC cultures.
AIMed.d3.s31.p2	N	Levels of PROTEIN1 ( PROTEIN ) and PROTEIN ( PROTEIN2 ) rise in HUCs during progressive passages, whereas only PROTEIN increases in HPEC cultures.
AIMed.d3.s31.p3	N	Levels of PROTEIN1 ( PROTEIN ) and PROTEIN ( PROTEIN ) rise in HUCs during progressive passages, whereas only PROTEIN2 increases in HPEC cultures.
