BioInfer.d0.s0.p0	P	PROTEIN2 inhibits PROTEIN signaling by preventing formation of a PROTEIN * PROTEIN1 *DNA complex.
BioInfer.d0.s0.p1	P	PROTEIN inhibits PROTEIN2 signaling by preventing formation of a PROTEIN * PROTEIN1 *DNA complex.
BioInfer.d0.s0.p2	P	PROTEIN inhibits PROTEIN signaling by preventing formation of a PROTEIN2 * PROTEIN1 *DNA complex.
BioInfer.d0.s0.p3	P	PROTEIN1 inhibits PROTEIN2 signaling by preventing formation of a PROTEIN * PROTEIN *DNA complex.
BioInfer.d0.s0.p4	P	PROTEIN1 inhibits PROTEIN signaling by preventing formation of a PROTEIN2 * PROTEIN *DNA complex.
BioInfer.d0.s0.p5	P	PROTEIN inhibits PROTEIN1 signaling by preventing formation of a PROTEIN2 * PROTEIN *DNA complex.
BioInfer.d1.s0.p0	P	A binary complex of birch PROTEIN1 and PROTEIN2 could be isolated by gel chromatography.
BioInfer.d1.s1.p0	P	Birch PROTEIN2 increased the critical concentration required for PROTEIN and PROTEIN1 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN .
BioInfer.d1.s1.p1	N	Birch PROTEIN increased the critical concentration required for PROTEIN2 and PROTEIN1 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN .
BioInfer.d1.s1.p2	N	Birch PROTEIN increased the critical concentration required for PROTEIN and PROTEIN1 polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN2 .
BioInfer.d1.s1.p3	P	Birch PROTEIN1 increased the critical concentration required for PROTEIN2 and PROTEIN polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN .
BioInfer.d1.s1.p4	P	Birch PROTEIN1 increased the critical concentration required for PROTEIN and PROTEIN polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN2 .
BioInfer.d1.s1.p5	N	Birch PROTEIN increased the critical concentration required for PROTEIN1 and PROTEIN polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal PROTEIN2 .
BioInfer.d1.s2.p0	P	Interaction of plant PROTEIN1 with mammalian PROTEIN2 .
BioInfer.d1.s3.p0	P	In viscometric assays, the birch protein was seen to modulate PROTEIN1 filament formation analogous to animal PROTEIN2 .
BioInfer.d1.s4.p0	P	These data indicate that the PROTEIN2 -binding domains in plant and animal PROTEIN1 are functionally highly conserved, although the overall sequence similarity is less than 25%.
BioInfer.d2.s0.p0	N	Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN , in 35 (66.0%) for PROTEIN1 , in 20 (37.7%) for PROTEIN , and in 37 (69.8%) for PROTEIN2 .
BioInfer.d2.s0.p1	N	Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN2 , in 35 (66.0%) for PROTEIN1 , in 20 (37.7%) for PROTEIN , and in 37 (69.8%) for PROTEIN .
BioInfer.d2.s0.p2	N	Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN , in 35 (66.0%) for PROTEIN1 , in 20 (37.7%) for PROTEIN2 , and in 37 (69.8%) for PROTEIN .
BioInfer.d2.s0.p3	N	Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN2 , in 35 (66.0%) for PROTEIN , in 20 (37.7%) for PROTEIN , and in 37 (69.8%) for PROTEIN1 .
BioInfer.d2.s0.p4	N	Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN , in 35 (66.0%) for PROTEIN , in 20 (37.7%) for PROTEIN2 , and in 37 (69.8%) for PROTEIN1 .
BioInfer.d2.s0.p5	N	Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for PROTEIN1 , in 35 (66.0%) for PROTEIN , in 20 (37.7%) for PROTEIN2 , and in 37 (69.8%) for PROTEIN .
BioInfer.d3.s0.p0	P	Absence of PROTEIN2 leads to structurally aberrant neuromuscular synapses deficient in PROTEIN1 .
